,Entity_Number,Entity_Name,Item,code,equip_name_short,Budget_Allocation,department,GROUP_AMOUNT_NEW,implementation,plan,reason,BUDGE_TYPE,BUDGE_CODE,NAME,BUDGE_STATUS,PROJ_TYPE,PROJ_TYPE_CODE,ISPAID,PAID_TYPE,YEAR,APPROVE_STATUS,PUSHFLAG,PUSHTIME,FREEZEFLAG,_create_time,CHANGEUSERNAME,ORGNAME,ORGID,_modifier,_modify_time,LASTUSERNAME,project_code,project_name,org_name,pk_manag_org,org_code,pk_company,company_name,company_code,M_FIR_BIZ,M_FIR_BIZ_CODE,M_SEC_BIZ,M_SEC_BIZ_CODE,M_BIZ_TYPE_NAME,M_BIZ_TYPE_CODE,sub_factory_code,sub_factory_name,factory_code,factory_name,start_month,acceptance_month,equipment_location,equip_seq,equipment_type,manufacturer,type,location,former_name,facility_period,facility_no,Operation,fati_name,fati_code
0,Y3720210036,山东日照岚山区污水处理项目-BOT,NE1e2bad42Eq06,NE1e2bad42,1期1#进水提升泵房#1#进水提升泵,Eq06,Equipment,2.0,I03,立即更换,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,2024-12-03 15:37:52,刘健,北控水务集团,900104972,liujian2,2024-12-03 15:37:52,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,2025-01-01,2025-02-01,el01,,CEQ010001,南方泵业,,1期1#进水提升泵房,,,,Y3720210036,1期1#进水提升泵房,PS3703703
1,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703701030003003AYEq01,PS3703701030003003AY,1期1#粗格栅1#粗格栅,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,2024-11-01,2024-12-01,el01,1.0,回转式格栅,江苏通用,OR02,1期1#粗格栅,1#粗格栅,1期,9ab9fed5cc324b288a28668c83bfba5d,Y3720210036,1期1#粗格栅,PS3703701
2,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703701030003003AYEq04,PS3703701030003003AY,1期1#粗格栅1#粗格栅,Eq04,Equipment,0.2,I02,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,2024-11-01,2024-12-01,el01,1.0,回转式格栅,江苏通用,OR02,1期1#粗格栅,1#粗格栅,1期,9ab9fed5cc324b288a28668c83bfba5d,Y3720210036,1期1#粗格栅,PS3703701
3,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703701030003003AYEq09,PS3703701030003003AY,1期1#粗格栅1#粗格栅,Eq09,Equipment,11.0,I03,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,2024-11-01,2024-12-01,el01,1.0,回转式格栅,江苏通用,OR02,1期1#粗格栅,1#粗格栅,1期,9ab9fed5cc324b288a28668c83bfba5d,Y3720210036,1期1#粗格栅,PS3703701
4,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703701030003004AYEq01,PS3703701030003004AY,1期1#粗格栅2#粗格栅,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,2.0,回转式格栅,宜兴市新泰环保,,1期1#粗格栅,2#粗格栅,1期,9ab9fed5cc324b288a28668c83bfba5d,Y3720210036,1期1#粗格栅,PS3703701
5,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703701030003004AYEq04,PS3703701030003004AY,1期1#粗格栅2#粗格栅,Eq04,Equipment,0.2,I02,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,2.0,回转式格栅,宜兴市新泰环保,,1期1#粗格栅,2#粗格栅,1期,9ab9fed5cc324b288a28668c83bfba5d,Y3720210036,1期1#粗格栅,PS3703701
6,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703701Eq02,PS3703701,1期1#粗格栅,Eq02,Equipment,0.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,,houyannan,2024-10-29 14:00:01,,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,2024-01-01,2024-01-01,el02,,,,,,,1期,9ab9fed5cc324b288a28668c83bfba5d,,,
7,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703701Eq07,PS3703701,1期1#粗格栅,Eq07,Equipment,24.0,,12,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,,houyannan,2024-10-29 14:00:01,,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,2024-01-01,2024-01-01,el02,,,,,,,1期,9ab9fed5cc324b288a28668c83bfba5d,,,
8,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001005AYEq04,PS3703703010001005AY,1期1#进水提升泵房1#进水提升泵,Eq04,Equipment,0.2,I02,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,1.0,潜水排污泵,南洋,,1期1#进水提升泵房,一期1#螺旋离心泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
9,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001006AYEq01,PS3703703010001006AY,1期1#进水提升泵房5#进水提升泵,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,5.0,潜水排污泵,威乐,,1期1#进水提升泵房,二期2#抗堵塞潜污泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
