,YEAR,Entity_Number,Entity_Name,Budget_Allocation,BUDGE_TYPE,department,code,equip_name_short,facity,BUDGE_CODE,BUDGE_STATUS,GROUP_AMOUNT_NEW,plan,implementation,reason,Item,PROJ_TYPE,PROJ_TYPE_CODE,NAME,ISPAID,PAID_TYPE,APPROVE_STATUS,PUSHFLAG,FREEZEFLAG,ORGNAME,ORGID,_creator,_modifier,PUSHTIME,_create_time,_modify_time,CHANGEUSERNAME,LASTUSERNAME
0,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq05,020101,Technical,PS6100118030014001AN,1期1#二沉池1#吸泥机,1期1#二沉池,BJ2025000242,1,2.0,1,,1,PS6100118030014001ANEq05,提效技改-工艺优化技改,0103,456,N,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
1,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq05,020101,Technical,PS6100118060004005CN,1期1#二沉池1#排渣堰门,1期1#二沉池,BJ2025000242,1,2.0,1,,1,PS6100118060004005CNEq05,提效技改-工艺优化技改,0103,456,N,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
2,2025,Y1420210001,山西太原北郊厂-TOT,Eq05,010103,Equipment,PS1400311010007043AN,1期1#二次提升泵房1#二次提升泵,1期1#二次提升泵房,BY1420210001,1,2.54,一级加压泵4台出水管逆止阀损坏，具备大修周期条件。集采购置相同型号或适宜的相同逆止阀 ,I03,一级加压泵4台出水管逆止阀损坏，具备大修周期条件              ,PS1400311010007043ANEq05,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
3,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq09,020101,Technical,PS6100118060002037CN,1期1#二沉池1#联通闸门,1期1#二沉池,BJ2025000240,1,2.0,1,,1,PS6100118060002037CNEq09,提效技改-设备节能技改,0102,106,N,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
4,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq09,020101,Technical,PS6100118060004007BN,1期1#二沉池1#配水闸门,1期1#二沉池,BJ2025000242,1,1.0,1,,1,PS6100118060004007BNEq09,提效技改-工艺优化技改,0103,456,N,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
5,2025,Y1420210001,山西太原北郊厂-TOT,Eq09,010103,Equipment,PS1400317050003245AY,1期1#污泥脱水机房3#污泥脱水机,1期1#污泥脱水机房,BY1420210001,1,56.8538,由集团采购与前期同型号脱水机一台，并由生产厂家安装。辅材钢管等材料由设备厂家提供，安装位置在脱水机房预留位置。需要配置无轴螺旋输送机一台到原脱水机水平螺旋处， 污泥管路接原泥泵预留接口，药管接原药泵管路中。反冲洗管线接原来的反冲洗泵的管线。,I03,由于二期改扩建和一期升级改造，污水量提升增加，原脱水机不能满足运行产生的排泥量需要增加一台脱水机。,PS1400317050003245AYEq09,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
6,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq06,020101,Technical,ca,2期1#混凝沉淀池2#SS分析仪,2期1#混凝沉淀池,BJ2025000242,1,2.0,1,I03,1,caEq06,提效技改-工艺优化技改,0103,456,N,,1,0,0,,,w-chenjinglei01,yangpeize,2025-07-07 10:39:16.942216,2025-06-18 16:38:48.000000,2025-06-20 09:44:15.000000,,
7,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq06,020101,Technical,JEde554101,1期1#污泥泵房1#气提阀,1期1#污泥泵房,BJ2025000241,1,3.0,4,I03,3,JEde554101Eq06,达标技改,0101,107,N,,1,0,0,,,yangpeize,yangpeize,2025-07-07 10:39:16.942216,2025-06-30 09:37:16.000000,2025-06-30 09:37:16.000000,,
8,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NE002f8671,2期1#中控室#1#路由器,2期1#中控室,BY1420210001,1,0.5498,新增网关,I03,满足SDE数据传输,NE002f8671Eq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
9,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NE35295bbd,1期1#除臭系统#1#除臭系统多功能电表,1期1#除臭系统,BY1420210001,1,0.1,增加电表,I03,满足SED填报要求，大功率设备计量,NE35295bbdEq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
