PK_CO_ORG,CO_ORG_CD,CO_ORG_NAME,PK_BELNG_MGMT_ORG,INN_CALI_CO_ORG_LVL,MGMT_CALI_CO_ORG_LVL,SBM_CALI_CO_ORG_LVL,LEGL_REP,USCC,BIZ_RGSTT_CETF_NUM,CO_PURPO,INDS_CLASSF,ORG_MODAL,ACTL_CTRL_FRM,INVEST_MOD,GRP_SHRHD_RATIO,GRP_DIVD_RATIO,RGST_CAP,CUR,BASE_CUR,IF_CO_ORG,PK_PARENT_CO_ORG,CTRY,ARA,PROV_CD,CITY_CD,CTY_CD,ADDR,CO_ORG_STATUS,SETUP_DT,REGISTER_DT,EXIT_DT,BIZ_TERM_START_DT,BIZ_TERM_END_DT,IF_FNCL_SHR,IF_COMB_TAB,COMB_TAB_DT,TAXPYR_IDTF_NUM,FIN_CALI_CORP_TYP,FIR_BIZ,FIR_BIZ_CODE,SEC_BIZ,SEC_BIZ_CODE,BIZ_TYP,BIZ_TYP_CODE,CHANGEDATE,CHANGEUSERID,CHANGEUSERNAME,FREEZEFLAG,LASTDATE,LASTUSERID,LASTUSERNAME,ORGID,ORGNAME,SYSID,VER,_id,_modifier,_modify_time,_sort,Year,_creator,_create_time,Entity_Number,Entity_Opreation,Version
0001A4100000000NPL1W,090100,青岛北控资源与环境技术有限公司,2327848,,,,赵克喜,9137028508648958XG,,,,,,,22.75,22.75,39033.33,CNY,CNY,是,,CN,,,,,山东省-青岛市-莱西市-姜山镇204国道东新天地产业园北,正常,,2017-01-16,,,,否,,,,,,,,,,,2024-10-22 11:51:56,admin,admin,0,2024-10-22 11:51:56,admin,admin,000005,北控水务,1729569116803288583,0,9599,,,,2025,,,Q12024000010,,WorkVersion
0001N6100000000GR8AS,030062,北控彭州自来水有限公司,3584380,,,,孙晓航,915101827528462523,,,,,,,70.00,70.00,7360.00,CNY,CNY,是,,CN,,,,,四川省-成都市-彭州市-成都市彭州市金彭西路335号,正常,,2016-12-12,,,,是,,,915101827528462523,,,,,,,,2024-10-22 11:51:52,admin,admin,0,2024-10-22 11:51:52,admin,admin,000005,北控水务,1729569112971125282,0,9631,,,,2025,,,T19002149,,WorkVersion
0001D210000000000G5A,040007,深圳北控环保科技有限公司,2247289,,,,曾亦平,9144030068943000X6,,,,,,,100.00,100.00,2000.00,CNY,CNY,是,,CN,,,,,广东省-深圳市-龙岗区-坪地街道年丰社区坪梓路119号201,正常,,2016-07-06,,,,是,,,9144030068943000X6,,,,,,,,2024-10-22 11:52:05,admin,admin,0,2024-10-22 11:52:05,admin,admin,000005,北控水务,1729569125659321288,0,9409,,,,2025,,,T20192003,,WorkVersion
0001A4100000008OLSLJ,072004,宁夏淏宁环保有限公司,2254335,,,,任士兵,91640121MA770W5F8E,,,,,,,100.00,100.00,100.00,CNY,CNY,是,,CN,,,,,宁夏回族自治区-银川市-兴庆区-友爱中心路东侧、大连路林带北侧综合楼4层,正常,,2018-12-27,,,,是,,,91640121MA770W5F8E,,,,,,,,2024-10-22 11:52:10,admin,admin,0,2024-10-22 11:52:10,admin,admin,000005,北控水务,1729569130892744699,0,9642,,,,2025,,,T20193117,,WorkVersion
0001A4100000001HHUPS,950018,泸州北控环保工程投资有限公司,3688447,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91510500MA668BRH8G,,,,,,,,2024-10-22 11:52:16,admin,admin,0,2024-10-22 11:52:16,admin,admin,000005,北控水务,1729569136118274117,0,8412,,,,2025,,,T20206166,,WorkVersion
0001D210000000000G57,040006,深圳北控创新投资有限公司,2247289,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91440300736250117H,,,,,,,,2024-10-22 11:52:02,admin,admin,0,2024-10-22 11:52:02,admin,admin,000005,北控水务,1729569122385395032,0,9154,,,,2025,,,T20206992,,WorkVersion
0001N6100000000KVBGD,040404,揭阳西区北控水务有限公司,2247289,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91445200MA4UW5LT02,,,,,,,,2024-10-22 11:52:01,admin,admin,0,2024-10-22 11:52:01,admin,admin,000005,北控水务,1729569121074959924,0,8734,,,,2025,,,T20207619,,WorkVersion
0001A410000000BS8H4S,591884,北控城排（青岛）环境科技有限公司,195150,,,,赵振凤,91370214MA94YU9527,,,,,,,100.00,0.00,4000.00,CNY,CNY,是,,CN,,,,,山东省-青岛市-城阳区-春阳路92号29号楼办公 1701,正常,,2021-09-24,,,,是,,,91370214MA94YU9527,,,,,,,,2024-10-22 11:52:03,admin,admin,0,2024-10-22 11:52:03,admin,admin,000005,北控水务,1729569123040556079,0,8495,,,,2025,,,T20237891,,WorkVersion
0001D210000000000FFW,000001,北控水务（中国）投资有限公司,1540426,,,,李力,91110105690802464Y,,,,,,,100.00,0.00,50000.00,USD,CNY,是,,CN,,,,,北京市-市辖区-朝阳区-北京市朝阳区望京东园七区18号楼8层801内808,正常,,2016-10-25,,,,是,,,91110105690802464Y,,,,,,,,2024-10-22 11:51:57,admin,admin,0,2024-10-22 11:51:57,admin,admin,000005,北控水务,1729569117783992666,0,9566,,,,2025,,,T20247959,,WorkVersion
0001N6100000000L8MA2,040408,揭阳洪阳北控水务有限公司,2247289,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91445281MA4UWW8X4X,,,,,,,,2024-10-22 11:51:55,admin,admin,0,2024-10-22 11:51:55,admin,admin,000005,北控水务,1729569115180322452,0,8676,,,,2025,,,T4420230007,,WorkVersion
