,Status,Entity_Name,Current_Stage,Region,Regional_Company,Incorporated_Company,Project_Level,Format_1,Format_2,Investment,Project_Obtain,Total_Investment,WFCZ_Amount,QYRZ_Amount,ZFCZ_Amount,XMRZ_Amount,QTZJLY_Amount,WS_HTGM,WS_JQGM,WS_JQZTGM,WS_JQTZ,WS_XYSJ,GS_HTGM,GS_JQGM,GS_JQZTGM,GS_JQTZ,GS_YJGDGQBL,GS_XYSJ,GW_HTGM,GW_JQGM,GW_JQZTGM,GW_JQTZ,GW_KYXFWF,GW_JCQYFWFDJ,GW_YWFWFDJ,WN_HTGM,WN_JQGM,WN_JQZTGM,WN_JQTZ,WN_XYNJ,ZSS_HTGM,ZSS_JQGM,ZSS_JQZTGM,ZSS_JQTZ,ZSS_XYSJ,Other_GM,Clue,Time_YXXSJH,Time_LXJH,Time_FACHJH,Time_TBJH,Time_ZSPSJH,Time_HTQYJH,Time_YXXSSJWC,Time_LXSJWC,Time_FACHSJWC,Time_TBSJWC,Time_ZSPSSJWC,Time_HTQYSJWC,TZZT,TZZT_Description,Increment_Type,LHTQTR,ZCZBJBL,Total_CGB,QTZ,XMZYZJ,YN_JJTZ,HHJJ_CGBL,BEWG_CGBL,Time_ZB,Time_QY,Amount_TZ_Q1,Amount_TZ_Q2,Amount_TZ_Q3,Amount_TZ_Q4,Amount_TZ_Total,YJJNZCZBJ_M1,YJJNZCZBJ_M2,YJJNZCZBJ_M3,YJJNZCZBJ_M4,YJJNZCZBJ_M5,YJJNZCZBJ_M6,YJJNZCZBJ_M7,YJJNZCZBJ_M8,YJJNZCZBJ_M9,YJJNZCZBJ_M10,YJJNZCZBJ_M11,YJJNZCZBJ_M12,YJJNZCZBJ_Total,ZRKZFJH_M1,ZRKZFJH_M2,ZRKZFJH_M3,ZRKZFJH_M4,ZRKZFJH_M5,ZRKZFJH_M6,ZRKZFJH_M7,ZRKZFJH_M8,ZRKZFJH_M9,ZRKZFJH_M10,ZRKZFJH_M11,ZRKZFJH_M12,ZRKZFJH_Total,Amount_BZJ,ZFZTDW,Time_YJZF,Time_YJHS,Amount_CZKS_Total,JSQFKKS_Q1,JSQFKKS_Q2,JSQFKKS_Q3,JSQFKKS_Q4,JSQFKKS_Total,JSQFKZJLY_TotalAmount,JSQFKZJLY_WFCZ,JSQFKZJLY_QYRZ,JSQFKZJLY_ZFCZ,JSQFKZJLY_XMJK,JSQFKZJLY_QT,GZKZJLY_TotalAmount,GZKZJLY_WFCZ,GZKZJLY_QYRZ,GZKZJLY_ZFCZ,GZKZJLY_XMJK,GZKZJLY_QT,Time_GCKG,Time_WGYS,Time_ZSY,Amount_TPNKXMZTZ,Amount_YLFZB,TXJYQ,HTBDGM,Price_DS,Cost_DS,Amount_QTFDS_Revenue,Amount_QTFDS_Cost,Projects_Launched_Year,Entity_Investment,TXKZJLY_TotalAmount,TXKZJLY_WFCZ,TXKZJLY_QYRZ,TXKZJLY_ZFCZ,TXKZJLY_XMJK,TXKZJLY_QT,BG_Amount,YN_ZRQHPT,YN_QZC,WN_HTSR,GLHT_DWQC,GLHT_CGBL,Heavy_Asset_Investment_Model,Classification_of_Heavy_Assets,Light_Asset_Investment_Model,Light_Asset_Business_Model,Secondary_Service_Model,Secondary_Product_Model,Model_Description,Construction_Type,RENEWAL,CON_SIZE,REC_SIZE,ROE,ANN_CONT_REV,OPE_PERIOD,PRP_SOURCE,Year,Scenario
0,计划,江苏省苏州市昆山市五厂提标改造项目,1市场阶段,东部大区,北京建工环境,,C,污水,",,市政污水处理",,执行中,0,,,,,,38.6,38.6,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,XS2023112100563,,2020-07-01 00:00:00,2020-07-10 00:00:00,2020-07-14 00:00:00,2024-01-31 00:00:00,2024-02-29 00:00:00,2023-11-28 11:54:00,,,,,,,,非投标增量,,,,7.5,8.5,,,,,2024-02-29 00:00:00,50,40,20,5,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 00:00:00,,0,,,,,,,,,,,,,,,,,,2020-08-01 00:00:00,2020-12-31 00:00:00,2021-01-01 00:00:00,,,,,,,,,否,YXXS2023112100563,,,,,,,,,否,,,,BOT,1类-保履约,,,,,提标改造项目,,,,,,,,,2023,Q3
1,否,山东水投高新水务有限公司60%股权收购项目,3方案策划,东部大区,济南区域公司,,B,污水,",,市政污水处理, 市政污水处理",,执行中,0.032,,,,,,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-18 00:00:00,2023-10-14 00:00:00,2023-12-11 00:00:00,2024-09-08 00:00:00,2024-01-18 00:00:00,,,,,,,,,并购增量,,,,0,0,,,,,2024-01-18 00:00:00,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,320,320,0,0,0,0,0,0,0,0,0,0,0,320,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,YXCSH2023253,,,,,,,320,,否,,,,并购,1类-保履约,,,,,为了维护与济高控股的商务关系，以320万购买山东水投高新60%的股权；,,,,,,,,,2023,Q3
2,否,即墨城区东部污水处理厂,2立项策划,东部大区,青岛区域公司,,C,污水,",,市政污水处理, 市政污水处理",,执行中,0,,,,,,7,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15 00:00:00,,,,2024-08-26 00:00:00,,2023-05-31 00:00:00,,,,,,,,投标增量,,,,6,6.5,,,,,,7,7,7,0,21,0,0,0,0,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,YXCSH2023229,,,,,,,,,否,,,,BOT,2类-存带增,,,,,,,,,,,,,,2023,Q3
3,否,平阴再生水项目,1市场阶段,东部大区,济南区域公司,,C,再生水,",销售经营类ToB,",,已暂停,0,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,2,,2,0,0,,2023-04-28 00:00:00,2023-05-09 00:00:00,,,2023-12-31 00:00:00,,2023-04-30 00:00:00,2023-04-27 00:00:00,2023-04-25 00:00:00,,,,北控水务（中国）投资有限公司,0,非投标增量,0,0,0,23,35,否,0,0,,,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,YXCSH2023144,,,,,,,,,否,,,,售水,2类-存带增,,,,,再生水销售作为企业生产用水,,,,,,,,,2023,Q3
4,否,河南汝州石庄污水处理厂股权收购项目,5正式评审,东部大区,郑州业务区,郑州业务区,A+,污水,",,市政污水处理",,已暂停,0,3959.59,15838.34,0,15838.34,0,10,5,3,14247,2,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-15 00:00:00,,,,2024-05-30 00:00:00,,2022-06-15 00:00:00,2022-07-06 00:00:00,2022-07-29 00:00:00,2022-07-29 00:00:00,2023-03-09 00:00:00,,北控水务（中国）投资有限公司,,并购增量,0,100,100,8,12,否,0,0,2022-07-29 00:00:00,,10,10,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,5637.6,5637.6,0,0,0,,,,,,,,,,,,否,YXCSH2023116,0,0,0,0,0,0,0,,否,,,,并购,3类-空白区域,,,,,100%股权收购,,,,,,,,,2023,Q3
5,否,江苏省东海高新技术产业开发区日处理一万吨工业污水处理厂EPCO（拟）项目,1市场阶段,东部大区,南京区域公司,,C,污水,",,市政污水处理, 工业污水处理",,执行中,0,,,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2022-12-30 00:00:00,,,,2023-12-30 00:00:00,,2023-02-15 00:00:00,,,,,,,,投标增量,,,,0,0,,,,,,2,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,YXCSH2023018,,,,,,,,,是,,,,EPCO,,其他,服务,技术咨询,,拟采取EPCO模式,,,,,,,1.5,,2023,Q3
6,否,江苏高淳经济开发区食品产业园工业废水预处理项目,1市场阶段,东部大区,南京区域公司,,C,污水,",,市政污水处理",,已暂停,0,,,,,,1,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2023-06-30 00:00:00,,,,2024-11-25 00:00:00,,,,,,,,,,投标增量,,,,8,10,,,,,,1,1,0.5,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,暂无,2023-11-25 00:00:00,,,,,,,,,,,,,,,,,,,,2024-02-09 00:00:00,2024-02-16 00:00:00,2024-06-22 00:00:00,,,,,,,,,是,YXCSH2023286,,,,,,,,,是,,,,,,,"产品, 服务",委托运营,"运营技术产品, 环保装备",,,,,,,,,,2023,Q3
7,否,太忻一体化经济区（古交片区）市政基础设施 三个污水处理厂改造特许经营项目,3方案策划,东部大区,太原区域公司,,B,污水,",,市政污水处理, 市政污水处理",,执行中,0,,,,,,5.8,5.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-12 00:00:00,,,,,,,,,,投标增量,,,,7.5,8,,,,,,5,8.4,4,0,17.4,0,0,0,0,0,0,0,88.4,0,0,0,0,88.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,YXCSH2023254,,,,,,,,,是,,,,ROT,2类-存带增,其他,服务,委托运营,,第三方投资+我公司OM,,,,,,,30,,2023,Q3
8,否,莱阳市排水一体化合资经营项目,1市场阶段,东部大区,烟威区域公司,,C,污水,",,市政污水处理, 市政污水处理",,执行中,0,,,,,,20,20,0,,,,,,,,,273,273,,,,,,,,,,,,,,,,,,,,,,2023-05-15 00:00:00,,,,,,,,,,投标增量,,,,7,8.5,,,,,,15,15,15,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,北控水务（中国）投资有限公司,2024-03-28 00:00:00,,,,,,,,,,,,,,,,,,,,2024-06-30 00:00:00,2024-12-25 00:00:00,2024-12-31 00:00:00,,,,,,,,,否,YXCSH2023233,,,,,,,,,是,,,,"TOT, 股权转让",3类-空白区域,OM,服务,委托运营,,,,,,,,,5,,2023,Q3
9,否,古田县城乡生活污水提升治理工程EPCO项目,4中标策划,南部大区,福州区域公司,,B,污水,",,市政污水处理",,执行中,0,0,0,66958,0,0,2.117,2.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-30 00:00:00,,,,2023-11-30 00:00:00,,2022-06-30 00:00:00,2022-09-16 00:00:00,2022-10-16 00:00:00,,,,北控水务（中国）投资有限公司,主体待定,投标增量,待定,0,100,0,0,否,0,0,,,0.82,0.82,0.82,0.82,3.28,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,待定,,,,,,,,,58113.54,0,0,58113.54,0,0,0,0,0,0,0,0,,,,,,,,,,,,,YXCSH2023139,0,0,0,0,0,0,,,,,,,EPCO,,,,,,项目建设期3年，运营期3年,,,,,,,,,2023,Q3
10,否,靖西水系综合治理委托运营项目,2立项策划,南部大区,百色区域公司,,C,污水,",,市政污水处理, 市政污水处理",,执行中,0,0,0,0,0,0,6,6,0,2000,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2023-04-03 00:00:00,,,,2024-10-22 00:00:00,,2023-04-03 00:00:00,2024-06-01 00:00:00,2024-07-30 00:00:00,,,,北控水务（中国）投资有限公司,,投标增量,,0,100,0,0,否,,,,,4.5,4.5,4.5,4.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,百色北控水务管理有限公司（待定）,2024-09-01 00:00:00,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-01 00:00:00,2024-10-01 00:00:00,2024-12-31 00:00:00,,,,,,,,,否,YXCSH2023221,0,0,0,0,0,0,,否,是,,,,OM,,OM,服务,委托运营,,,,,,,,,3,,2023,Q3
